timestamp,elapsed_seconds,experiment,replicas,cpu_utilization_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,rps,error_rate,active_users
2026-03-17T10:00:00,0,hpa,1,0.0,81.7,113.5,144.4,0.54,0.0023,0
2026-03-17T10:00:15,15,hpa,1,6.19,79.2,118.7,148.0,4.8,0.0014,4
2026-03-17T10:00:30,30,hpa,1,13.49,92.6,146.8,210.9,6.35,0.0012,8
2026-03-17T10:00:45,45,hpa,1,22.78,92.4,140.8,184.4,9.85,0.0002,12
2026-03-17T10:01:00,60,hpa,1,24.32,91.4,134.4,174.8,11.56,0.0029,16
2026-03-17T10:01:15,75,hpa,1,36.59,102.3,163.0,215.9,11.57,0.0012,20
2026-03-17T10:01:30,90,hpa,1,42.49,111.1,185.5,240.0,12.01,0.0036,25
2026-03-17T10:01:45,105,hpa,1,48.57,127.0,209.0,300.0,11.91,0.0008,29
2026-03-17T10:02:00,120,hpa,1,53.44,126.7,205.7,300.6,13.63,0.0014,33
2026-03-17T10:02:15,135,hpa,1,61.3,131.4,222.3,333.6,9.25,0.0007,37
2026-03-17T10:02:30,150,hpa,2,30.39,99.5,164.5,232.9,22.92,0.0,41
2026-03-17T10:02:45,165,hpa,2,31.88,107.3,186.0,259.3,23.16,0.0015,45
2026-03-17T10:03:00,180,hpa,2,38.13,111.3,179.5,245.5,25.19,0.0013,50
2026-03-17T10:03:15,195,hpa,2,52.9,117.1,200.4,304.3,22.54,0.0001,62
2026-03-17T10:03:30,210,hpa,3,43.92,111.9,189.2,254.0,38.18,0.0011,75
2026-03-17T10:03:45,225,hpa,3,48.64,127.8,206.9,274.8,35.33,0.0015,87
2026-03-17T10:04:00,240,hpa,4,38.12,116.6,183.5,266.9,44.41,0.0002,100
2026-03-17T10:04:15,255,hpa,4,43.03,112.3,184.9,254.6,47.62,0.0008,112
2026-03-17T10:04:30,270,hpa,4,51.97,115.1,195.8,284.1,48.58,0.0016,125
2026-03-17T10:04:45,285,hpa,5,45.97,128.1,207.8,283.6,58.87,0.0,137
2026-03-17T10:05:00,300,hpa,6,38.76,108.0,173.0,241.7,72.08,0.0002,150
2026-03-17T10:05:15,315,hpa,7,40.1,114.7,181.5,239.4,84.82,0.0012,162
2026-03-17T10:05:30,330,hpa,8,33.2,108.5,173.2,224.3,96.28,0.0,175
2026-03-17T10:05:45,345,hpa,8,41.34,117.9,186.0,258.8,92.39,0.0,187
2026-03-17T10:06:00,360,hpa,9,36.08,103.5,168.3,252.4,106.24,0.0002,200
2026-03-17T10:06:15,375,hpa,9,36.88,117.9,177.9,244.9,110.73,0.0,198
2026-03-17T10:06:30,390,hpa,9,33.6,106.6,165.2,233.8,108.36,0.0,197
2026-03-17T10:06:45,405,hpa,10,33.34,102.8,168.4,219.4,119.05,0.0015,195
2026-03-17T10:07:00,420,hpa,10,33.61,108.0,157.7,218.2,118.45,0.0012,194
2026-03-17T10:07:15,435,hpa,10,29.01,107.8,162.9,204.6,121.07,0.0012,193
2026-03-17T10:07:30,450,hpa,10,30.4,112.9,173.0,233.0,120.4,0.0004,191
2026-03-17T10:07:45,465,hpa,10,32.34,102.3,156.8,225.7,118.44,0.0,190
2026-03-17T10:08:00,480,hpa,10,34.39,118.3,181.2,218.9,119.53,0.0007,188
2026-03-17T10:08:15,495,hpa,10,30.56,98.9,157.2,216.9,117.76,0.0017,187
2026-03-17T10:08:30,510,hpa,10,34.81,105.5,161.7,215.4,120.92,0.0,186
2026-03-17T10:08:45,525,hpa,10,30.81,102.3,170.2,226.3,122.5,0.0,184
2026-03-17T10:09:00,540,hpa,10,31.42,105.9,158.7,214.7,121.82,0.0007,183
2026-03-17T10:09:15,555,hpa,10,26.64,103.9,155.5,204.6,119.88,0.0,181
2026-03-17T10:09:30,570,hpa,10,26.56,106.3,161.4,187.2,121.18,0.0013,180
2026-03-17T10:09:45,585,hpa,10,28.13,96.8,154.7,210.9,123.57,0.0014,179
2026-03-17T10:10:00,600,hpa,10,30.11,102.6,163.7,226.2,121.88,0.0005,177
2026-03-17T10:10:15,615,hpa,10,28.23,100.8,160.6,231.6,119.31,0.0006,176
2026-03-17T10:10:30,630,hpa,10,29.5,101.8,163.1,192.3,118.76,0.0002,175
2026-03-17T10:10:45,645,hpa,10,24.01,98.0,145.8,192.7,121.67,0.0008,173
2026-03-17T10:11:00,660,hpa,10,26.36,102.4,164.4,208.3,118.63,0.0016,172
2026-03-17T10:11:15,675,hpa,10,27.74,105.9,163.1,225.6,118.45,0.001,170
2026-03-17T10:11:30,690,hpa,10,27.54,96.1,139.0,192.1,119.47,0.0,169
2026-03-17T10:11:45,705,hpa,10,27.54,107.9,151.3,185.9,118.62,0.0025,168
2026-03-17T10:12:00,720,hpa,10,28.07,105.9,155.6,195.1,120.67,0.0011,166
2026-03-17T10:12:15,735,hpa,10,28.37,100.9,156.6,210.4,121.17,0.0018,165
2026-03-17T10:12:30,750,hpa,10,23.8,90.2,143.9,203.5,118.47,0.0,163
2026-03-17T10:12:45,765,hpa,10,27.01,106.2,174.3,238.2,119.44,0.0001,162
2026-03-17T10:13:00,780,hpa,10,26.61,99.8,146.8,216.3,122.68,0.0021,161
2026-03-17T10:13:15,795,hpa,10,24.51,105.4,165.5,225.1,121.67,0.0016,159
2026-03-17T10:13:30,810,hpa,10,27.61,104.1,161.5,194.4,118.88,0.0004,158
2026-03-17T10:13:45,825,hpa,10,23.34,109.2,178.3,253.7,118.09,0.0024,156
2026-03-17T10:14:00,840,hpa,10,25.69,101.6,148.5,201.2,116.76,0.0,155
2026-03-17T10:14:15,855,hpa,10,25.34,99.9,163.4,227.0,115.64,0.0012,154
2026-03-17T10:14:30,870,hpa,10,25.3,99.2,144.9,190.5,113.46,0.0,152
2026-03-17T10:14:45,885,hpa,10,26.0,101.9,144.5,190.2,115.04,0.0021,151
